Line,Original,Corrected,FullContent
560,"- 원자력 에너지 역시 이탈리아, 일본 등의 정책적 지원으로 인해 지속적인 관심이 필요합니다",'지속적인 관심'에 대한 언급은 이미지에 없음. '정책적 지원을 받고 있다'로만 마무리 필요,"- 원자력 에너지 역시 이탈리아, 일본 등의 정책적 지원으로 인해 지속적인 관심이 필요합니다 -> '지속적인 관심'에 대한 언급은 이미지에 없음. '정책적 지원을 받고 있다'로만 마무리 필요"
561,- 외식 가격 상승에 따라 저가형 외식 브랜드에 대한 관심이 필요합니다.,"이미지에 따르면, 외식 가격에 비해 가정식 가격이 빠르게 상승하는 것임","- 외식 가격 상승에 따라 저가형 외식 브랜드에 대한 관심이 필요합니다. -> 이미지에 따르면, 외식 가격에 비해 가정식 가격이 빠르게 상승하는 것임"
563,"- 원자재 가격의 안정화와 주거 비용의 하락 가능성을 언급하며, 금리 인하 가능성이 줄어든 만큼 기업 이익에 대한 관심이 더욱 중요해질 것으로 예상합니다.","원자재 가격의 상승 가능성은 낮으며, 주거 비용도 하락할 기미를 보이고 있습니다. (+ 기억 이입에 대한 관심이 더욱 중요하다는 내용 이미지에 없음)","- 원자재 가격의 안정화와 주거 비용의 하락 가능성을 언급하며, 금리 인하 가능성이 줄어든 만큼 기업 이익에 대한 관심이 더욱 중요해질 것으로 예상합니다. -> 원자재 가격의 상승 가능성은 낮으며, 주거 비용도 하락할 기미를 보이고 있습니다. (+ 기억 이입에 대한 관심이 더욱 중요하다는 내용 이미지에 없음)"
564,- 반등 기회가 있을 것으로 전망합니다,'전망됩니다'와 같이 피동 표현으로 작성 필,- 반등 기회가 있을 것으로 전망합니다 -> '전망됩니다'와 같이 피동 표현으로 작성 필
568,- 문장 부자연스러움: 다음과 같은 전망을 추론할 수 있습니다.,다음과 같이 전망할 수 있습니다.,- 문장 부자연스러움: 다음과 같은 전망을 추론할 수 있습니다. -> 다음과 같이 전망할 수 있습니다.
570,"- 리포트 작성 시점(2022년 9월)에는 고금리 상황이 테크주의 주가를 누르고 있지만, 인플레이션 완화가 명확해지면 금리 인상 속도 조절이나 인하 기대감이 커질 수 있습니다.",이미지에 없음,"- 리포트 작성 시점(2022년 9월)에는 고금리 상황이 테크주의 주가를 누르고 있지만, 인플레이션 완화가 명확해지면 금리 인상 속도 조절이나 인하 기대감이 커질 수 있습니다. -> 이미지에 없음"
576,"- 답변 답변-6을 봤을 때, '분류'로 보기 어려움. 긍정적인 분야와 부정적인 분야와 같이 묶어서 정리할 수 있는 게 아니라면 분류 X",질문부터 수정 필요 => 수정 방향: str질의tegy에 언급된 항목들은 왜 긍정적으로 보는 건지 알려줘,"- 답변 답변-6을 봤을 때, '분류'로 보기 어려움. 긍정적인 분야와 부정적인 분야와 같이 묶어서 정리할 수 있는 게 아니라면 분류 X -> 질문부터 수정 필요 => 수정 방향: str질의tegy에 언급된 항목들은 왜 긍정적으로 보는 건지 알려줘"
579,- 하위 레벨 불릿에서의 키워드(ex. 억눌린 수요 회복) 불필요해보임,모두 삭제 필요,- 하위 레벨 불릿에서의 키워드(ex. 억눌린 수요 회복) 불필요해보임 -> 모두 삭제 필요
581,- 리포트는 여러 업종 및 테마에 대해 긍정적으로 판단하는 근거를 다음과 같이 정리할 수 있습니다.,str질의tegy에 언급된 항목들을 긍정적으로 판단하는 근거는 다음과 같습니다.,- 리포트는 여러 업종 및 테마에 대해 긍정적으로 판단하는 근거를 다음과 같이 정리할 수 있습니다. -> str질의tegy에 언급된 항목들을 긍정적으로 판단하는 근거는 다음과 같습니다.
582,- 캘리포니아의 2035년부터 내연기관차 신규 판매 금지 규정은 전기차 부문의 추가 동력을 제공합니다.,2035년부터 내연기관차의 신규 판매를 금지하는 캘리포니아의 규정은 전기차 부문에 추가 동력을 제공했습니다.,- 캘리포니아의 2035년부터 내연기관차 신규 판매 금지 규정은 전기차 부문의 추가 동력을 제공합니다. -> 2035년부터 내연기관차의 신규 판매를 금지하는 캘리포니아의 규정은 전기차 부문에 추가 동력을 제공했습니다.
583,"- 이탈리아 총선에서 우파 정당의 승리 가능성, 일본의 U-턴 정책 발표 등 지속적인 정책적 지원을 받고 있습니다.",주어 누락됨,"- 이탈리아 총선에서 우파 정당의 승리 가능성, 일본의 U-턴 정책 발표 등 지속적인 정책적 지원을 받고 있습니다. -> 주어 누락됨"
586,- 소비가 필수품 중심으로 쏠려있는 현상이 나타나 긍정적인 관점이 유지됩니다.,'필수품'이란 언급은 이미지에 없음,- 소비가 필수품 중심으로 쏠려있는 현상이 나타나 긍정적인 관점이 유지됩니다. -> '필수품'이란 언급은 이미지에 없음
597,- 크게 하락했습니다,3% 가까이 하락했습니다: '크게'란 표현은 주의 필요,- 크게 하락했습니다 -> 3% 가까이 하락했습니다: '크게'란 표현은 주의 필요 (검수자 수정완료)
600,- 띄어쓰기 오류: 10 원,"10원, 20 년 -> 20년, 0.89 배 -> 0.89배, 2,230 포인트 -> 2,230포인트","- 띄어쓰기 오류: 10 원 -> 10원, 20 년 -> 20년, 0.89 배 -> 0.89배, 2,230 포인트 -> 2,230포인트"
602,- Eurex KOSPI200 선물이 1.90% 하락함에 따라 KOSPI는 약 1.3% 내외로 하락 출발할 것으로 보입니다,이미지상으로는 Eurex KOSPI200 선물과 KOSPI의 인과관계를 확인할 수 없음,- Eurex KOSPI200 선물이 1.90% 하락함에 따라 KOSPI는 약 1.3% 내외로 하락 출발할 것으로 보입니다 -> 이미지상으로는 Eurex KOSPI200 선물과 KOSPI의 인과관계를 확인할 수 없음
604,- 추가적인 하락 시,큰 폭의 하락 시,- 추가적인 하락 시 -> 큰 폭의 하락 시
605,- 이미지에 있는 표현 그대로 사용 필요: 원화 환율,달러/원 환율,- 이미지에 있는 표현 그대로 사용 필요: 원화 환율 -> 달러/원 환율
611,"- 이는 주가가 과도하게 하락할 경우, 밸류에이션 매력을 바탕으로 한 저가 매수세(반발 매수)가 유입되어 지수의 하방을 지지하고 시장의 안정을 도모할 수 있음을 추론하게 합니다.","따라서 주가가 과도하게 하락할 경우, 밸류에이션 매력을 바탕으로 한 저가 매수세(반발 매수)가 유입되어 지수의 하방을 지지하고 시장의 안정을 도모할 수 있을 것으로 전망됩니다.","- 이는 주가가 과도하게 하락할 경우, 밸류에이션 매력을 바탕으로 한 저가 매수세(반발 매수)가 유입되어 지수의 하방을 지지하고 시장의 안정을 도모할 수 있음을 추론하게 합니다. -> 따라서 주가가 과도하게 하락할 경우, 밸류에이션 매력을 바탕으로 한 저가 매수세(반발 매수)가 유입되어 지수의 하방을 지지하고 시장의 안정을 도모할 수 있을 것으로 전망됩니다."
637,- 사실성 오류: 장 막판에는 대형 기술주에 대한 반발 매수가 유입되며,'반발 매수가 유입되었다'는 내용 이미지에 없음,- 사실성 오류: 장 막판에는 대형 기술주에 대한 반발 매수가 유입되며 -> '반발 매수가 유입되었다'는 내용 이미지에 없음
638,- 표는 작업 대상이 아님. 가이드 내 '데이터 명시' 재숙지 필요,유럽 및 아시아 증시 내용 모두 삭제. 결론도 수정 필요,- 표는 작업 대상이 아님. 가이드 내 '데이터 명시' 재숙지 필요 -> 유럽 및 아시아 증시 내용 모두 삭제. 결론도 수정 필요
641,- 달러화가,달러화의 강세가,- 달러화가 -> 달러화의 강세가
654,- 이미지에 없는 정보 사용 불가: 비트코인 등 암호화폐 시장,비트코인에 대한 내용은 이미지에 없음,- 이미지에 없는 정보 사용 불가: 비트코인 등 암호화폐 시장 -> 비트코인에 대한 내용은 이미지에 없음
656,- 소제목 불필요,삭제,- 소제목 불필요 -> 삭제
659,- 참고) 질문에 구체적인 정보 작성할 필요 없음. (다음 작업부터 반영 필요),(수정 예시) 미 증시 동향에 언급된 주요 지수 5개의 상승률의 평균을 계산해줘.,- 참고) 질문에 구체적인 정보 작성할 필요 없음. (다음 작업부터 반영 필요) -> (수정 예시) 미 증시 동향에 언급된 주요 지수 5개의 상승률의 평균을 계산해줘.
661,"- 명시하신 5개 지수가 '주요 지수'라는 내용은 이미지에서 확인할 수 없습니다. '필라델피아 반도체 지수'만으로 반도체 등이 강세를 보였다고 결론 짓기 어려우며, 해당 지수는 '미 증시 동향'에서 언급되지 않았습니다.",툴에서부터 되돌리기하여 지질답 수정하거나 삭제 필요,"- 명시하신 5개 지수가 '주요 지수'라는 내용은 이미지에서 확인할 수 없습니다. '필라델피아 반도체 지수'만으로 반도체 등이 강세를 보였다고 결론 짓기 어려우며, 해당 지수는 '미 증시 동향'에서 언급되지 않았습니다. -> 툴에서부터 되돌리기하여 지질답 수정하거나 삭제 필요"
679,- JP 모건,JP모건,- JP 모건 -> JP모건
701,"- 고용시장은 여전히 견고하지만 일부 지역에서는 타이트함이 완화되었고,",본문 내용과 상이한 느낌입니다. 본문 내용을 재구성하되 비슷한 흐름으로 답변을 작성해주세요.,"- 고용시장은 여전히 견고하지만 일부 지역에서는 타이트함이 완화되었고, -> 본문 내용과 상이한 느낌입니다. 본문 내용을 재구성하되 비슷한 흐름으로 답변을 작성해주세요."
716,"- N답변F 달러/원 환율(1,434.50원)은 7원 상승 마감했습니다.",상승 출발입니다.,"- N답변F 달러/원 환율(1,434.50원)은 7원 상승 마감했습니다. -> 상승 출발입니다."
741,도어대시(답변oor답변질의sh): -6%,이미지에 제공되지 않은 정보(영어 사명)는 사용하지 않습니다.,도어대시(답변oor답변질의sh): -6% -> 이미지에 제공되지 않은 정보(영어 사명)는 사용하지 않습니다.
747,- 야간 지표,언급되지 않은 단어입니다. 관련 지표? 등이 적절하게 보입니다.,- 야간 지표 -> 언급되지 않은 단어입니다. 관련 지표? 등이 적절하게 보입니다.
772,- 블라드 총재,불러드 총재 : 오타 수정,- 블라드 총재 -> 불러드 총재 : 오타 수정(검수자수정 완료)
779,- 기준금리를 4%를,기준금리가 4%를,- 기준금리를 4%를 -> 기준금리가 4%를 (검수자수정 완료)
780,- 블라드 총재,불러드 총재 : 오타 수정,- 블라드 총재 -> 불러드 총재 : 오타 수정(검수자수정 완료)
787,- 오타 수정: 알코,"알코아, 블라드 -> 불러드, 완화적 통화정책 기대에 -> 완화적 통화정책에 기대어","- 오타 수정: 알코 -> 알코아, 블라드 -> 불러드, 완화적 통화정책 기대에 -> 완화적 통화정책에 기대어 (검수자 수정 완료)"
800,- 필라델피아 반도체 지수(SOX),필라델피아 반도체 지수,- 필라델피아 반도체 지수(SOX) -> 필라델피아 반도체 지수
805,- 금리 상승을 감안한,"금리 상승을 감안해,","- 금리 상승을 감안한 -> 금리 상승을 감안해,"
806,- 증시 권역의 낙폭,중화권 증시 권역의 낙폭,- 증시 권역의 낙폭 -> 중화권 증시 권역의 낙폭
819,- 중국발 긍정적 요인으로 인한 반발 매수도 기대되는 상황입니다,해당 문장은 이미지 내용과 상이합니다. 중국발 긍정적 요인과 반발 매수는 다른 요인입니다.,- 중국발 긍정적 요인으로 인한 반발 매수도 기대되는 상황입니다 -> 해당 문장은 이미지 내용과 상이합니다. 중국발 긍정적 요인과 반발 매수는 다른 요인입니다.
835,**1. 한국 주식시장 전망**,**한국 주식시장 전망**,**1. 한국 주식시장 전망** -> **한국 주식시장 전망**
865,- 만기일은 통상적으로 프로그램 매매와 연관되어 시장에 큰 영향을 미칠 수 있습니다.,이미지에 없는 내용으로 보입니다.,- 만기일은 통상적으로 프로그램 매매와 연관되어 시장에 큰 영향을 미칠 수 있습니다. -> 이미지에 없는 내용으로 보입니다.
868,"답변-2, 답변-4","이미지와 다른 단어, 없는 내용 일부 수정","답변-2, 답변-4 -> 이미지와 다른 단어, 없는 내용 일부 수정(검수자수정완료)"
876,- 이 자료는 2Q22 실적 발표 이후 미국 인터넷 대형 플랫폼 기업의 주가와 실적 전망을 분석한 내용입니다.,이 자료는 2Q22 실적 발표 이후 미국 인터넷 대형 플랫폼 기업의 주가와 실적 전망을 분석한 보고서입니다.,- 이 자료는 2Q22 실적 발표 이후 미국 인터넷 대형 플랫폼 기업의 주가와 실적 전망을 분석한 내용입니다. -> 이 자료는 2Q22 실적 발표 이후 미국 인터넷 대형 플랫폼 기업의 주가와 실적 전망을 분석한 보고서입니다.
877,"- 인건비 및 기타비용은 3Q22 인건비 안정화가 예상되며, 유류비 등 기타 비용도 안정화 추세입니다.","3Q22에 인건비 안정화가 예상되며, 유류비 등 기타 비용도 안정화 추세입니다.","- 인건비 및 기타비용은 3Q22 인건비 안정화가 예상되며, 유류비 등 기타 비용도 안정화 추세입니다. -> 3Q22에 인건비 안정화가 예상되며, 유류비 등 기타 비용도 안정화 추세입니다."
878,"- 띄어쓰기 오류: 1,298억달러","1,298억 달러","- 띄어쓰기 오류: 1,298억달러 -> 1,298억 달러"
881,- '2023년 전망에 주목' 부분만 이미지 내 '3번째 문단(이를 감안시~ 23년 OP 성장 예상 부분)'에 있는 내용이라서 적절하지 않은 것 같음,삭제 필요,- '2023년 전망에 주목' 부분만 이미지 내 '3번째 문단(이를 감안시~ 23년 OP 성장 예상 부분)'에 있는 내용이라서 적절하지 않은 것 같음 -> 삭제 필요
903,- 에너지 가격(전년 대비 +139.0%) 급등,에너지 가격 급등(전년 대비 +139.0%),- 에너지 가격(전년 대비 +139.0%) 급등 -> 에너지 가격 급등(전년 대비 +139.0%) (검수자 수정완료)
910,- 유의미한 질문으로 보이지 않음,"질문부터 수정 필요""","- 유의미한 질문으로 보이지 않음 -> 질문부터 수정 필요"""
923,"- KOSPI가 2008년 금융위기 당시 평균 PBR 0.89배 수준이었던 2,230p를 하회하는 등 과도한 하락세를 보였습니다.","KOSPI는 2008년 금융위기 당시 평균 PBR 0.89배 수준이었던 2,230p를 하회하는 등 과도한 하락세를 보였습니다.","- KOSPI가 2008년 금융위기 당시 평균 PBR 0.89배 수준이었던 2,230p를 하회하는 등 과도한 하락세를 보였습니다. -> KOSPI는 2008년 금융위기 당시 평균 PBR 0.89배 수준이었던 2,230p를 하회하는 등 과도한 하락세를 보였습니다. (검수자 수정완료)"
968,- 오타 수정: **중국 증시,**삭제,- 오타 수정: **중국 증시 -> **삭제 (검수자 수정 완료)
988,- 마크다운 불릿 규칙이 어색합니다.,"규칙 1에 해당하는 문단 수정해두었으니, 확인하시어 규칙 2 문단도 위와 같이 수정해주세요! ->>확인했습니다.""","- 마크다운 불릿 규칙이 어색합니다. -> 규칙 1에 해당하는 문단 수정해두었으니, 확인하시어 규칙 2 문단도 위와 같이 수정해주세요! ->>확인했습니다."""
992,- 주요 해외 지수 상승,'해외 지수'라고 보기 조금 애매한 감이 있습니다.,- 주요 해외 지수 상승 -> '해외 지수'라고 보기 조금 애매한 감이 있습니다.
1030,- '수출의존도가 높은',이 부분은 근거로 사용되는 내용입니다.,- '수출의존도가 높은' -> 이 부분은 근거로 사용되는 내용입니다.
1038,- 코인베이스(-9.82%):,-9.54% 입니다. 수치 작성시 오기입에 신경써서 답변 적어주세요!,- 코인베이스(-9.82%): -> -9.54% 입니다. 수치 작성시 오기입에 신경써서 답변 적어주세요!
1039,"- 아마존, 이베이, 엣시",어펌 홀딩스와 동반 하락인 것으로 보입니다.,"- 아마존, 이베이, 엣시 -> 어펌 홀딩스와 동반 하락인 것으로 보입니다."
1067,- 어색한 표현 수정: 0.47% 약세.,"-0.47%로 약세를 보였습니다.""","- 어색한 표현 수정: 0.47% 약세. -> -0.47%로 약세를 보였습니다."""
1069,- (이미지 기준)최근,시의성 표현이 어색합니다.,- (이미지 기준)최근 -> 시의성 표현이 어색합니다.
1074,ex. 총 지출 전망 (추수감사절-사이버 먼데이),총 지출 전망(추수감사절-사이버 먼데이),ex. 총 지출 전망 (추수감사절-사이버 먼데이) -> 총 지출 전망(추수감사절-사이버 먼데이)
1087,- 제사 피크 에너지,체사 피크 에너지,- 제사 피크 에너지 ->  체사 피크 에너지
1088,- 아이온(-3.03%),아마존,- 아이온(-3.03%)-> 아마존
1101,- 오타수정: 채사피크 에너지,"체사피크 에너지 (검수자 수정 완료)""","- 오타수정: 채사피크 에너지 -> 체사피크 에너지 (검수자 수정 완료)"""
1109,- 계산식:,- **계산식**: (볼드적용필요),- 계산식: -> - **계산식**: (볼드적용필요)
1114,- 밴스타인,번스타인,- 밴스타인 -> 번스타인
1115,- 1분기 실적에 대해,1분기가 아닌 것으로 보입니다.,- 1분기 실적에 대해 -> 1분기가 아닌 것으로 보입니다.
1119,- 경기 둔화 우려:,'경기 침체 이슈'가 더 적합한 표현으로 보입니다.,- 경기 둔화 우려: -> '경기 침체 이슈'가 더 적합한 표현으로 보입니다.
1178,"- 1,000여 명",다수가,"- 1,000여 명 -> 다수가"
1191,- 근거가 될 수 있을 것으로 보입니다.,근거가 될 수 있습니다.,- 근거가 될 수 있을 것으로 보입니다. -> 근거가 될 수 있습니다.
1192,이는 연준이 금리 인상 속도를 조절할 수 있는 근거가 될 가능성이 있습니다.,이를 근거로 연준이 금리 인상 속도를 조절할 가능성이 있습니다.,이는 연준이 금리 인상 속도를 조절할 수 있는 근거가 될 가능성이 있습니다. -> 이를 근거로 연준이 금리 인상 속도를 조절할 가능성이 있습니다.
1203,본문은,"주로 서론에 한번 정도 언급하며, 본문 및 결말에는 필요시 사용해주세요.","본문은 -> 주로 서론에 한번 정도 언급하며, 본문 및 결말에는 필요시 사용해주세요."
1207,내용 확인 요청,내용 확인 요청 -> 이는 연준이 금리 인상 기조를 유지할 수 있는 근거가 될 수 있을 것으로 보입니다.,내용 확인 요청 -> 내용 확인 요청 -> 이는 연준이 금리 인상 기조를 유지할 수 있는 근거가 될 수 있을 것으로 보입니다.
1209,내용 확인 요청,연준의 금리 인상 속도 조절 언급은 미 증시에 금리 상승 둔화에 대한 기대를 불러일으켰습니다.,내용 확인 요청 -> 연준의 금리 인상 속도 조절 언급은 미 증시에 금리 상승 둔화에 대한 기대를 불러일으켰습니다.
1217,제조업: 2만 건 감소,"**제조업**: 2만 건 감소""","제조업: 2만 건 감소 -> **제조업**: 2만 건 감소"""
1220,노란색,답변에 ~ 사용 불가합니다. ~을 -로 수정해주세요!,노란색 -> 답변에 ~ 사용 불가합니다. ~을 -로 수정해주세요!
1224,공격적,삭제,공격적 -> 삭제
1241,[X] 예측해줘 (본문 결론에 연준 위원 발언을 종합하면~~),"예측 근거인, 연준 위원에 속하는 연은 총재들의 발언을 따로 요청하는 것은 흐름이 부자연 스러움","[X] 예측해줘 (본문 결론에 연준 위원 발언을 종합하면~~) -> 예측 근거인, 연준 위원에 속하는 연은 총재들의 발언을 따로 요청하는 것은 흐름이 부자연 스러움"
1242,[O] 연준에서 나온 의견 요약/설명,위 내용을 바탕으로 봤을 때 전망이 어떻데?,[O] 연준에서 나온 의견 요약/설명 -> 위 내용을 바탕으로 봤을 때 전망이 어떻데?
1249,띄어쓰기가 콜론 앞에 오지 않도록 수정해주세요.,* **한국 주식시장 전망**:,띄어쓰기가 콜론 앞에 오지 않도록 수정해주세요. ->* **한국 주식시장 전망**:
1267,(예) 요약해보면,요약해 보면,(예) 요약해보면 -> 요약해 보면
1269,답변-4) 띄어쓰기 4개,리라이팅 부분에 의견 남겨놓았으니 툴을 확인해주세요!,답변-4) 띄어쓰기 4개 -> 리라이팅 부분에 의견 남겨놓았으니 툴을 확인해주세요!
1290,답변-2 주요 기업 주가 하락,답변-8주가 하락 원인,답변-2 주요 기업 주가 하락 -> 답변-8주가 하락 원인
1339,- 미국 증시 동향에 대해 설명드립니다.,이와 같은 가이드 질의는 지양합니다.,- 미국 증시 동향에 대해 설명드립니다. -> 이와 같은 가이드 질의는 지양합니다.
1362,- 띄어쓰기: 조정 되었습니다,조정되었습니다,- 띄어쓰기: 조정 되었습니다 -> 조정되었습니다
1393,- 크게 두가지 내용~,작성하신 내용을 보면 크게 두가지 내용이 구조적으로 판단되지 않습니다. 따라서 해당 내용을 삭제하였습니다.,- 크게 두가지 내용~ -> 작성하신 내용을 보면 크게 두가지 내용이 구조적으로 판단되지 않습니다. 따라서 해당 내용을 삭제하였습니다.
1395,- 없음 등 명사형 종결,없습니다. 등 완전한 문장으로 수정 (통일성),- 없음 등 명사형 종결 -> 없습니다. 등 완전한 문장으로 수정 (통일성)
1404,- 모수로 하여 추정하였습니다.,모수추정치입니다. (이미지에 제시된대로 수정),- 모수로 하여 추정하였습니다. -> 모수추정치입니다. (이미지에 제시된대로 수정)
1405,- 문의는,보고서 내용에 대한 문의는,- 문의는 -> 보고서 내용에 대한 문의는
1406,- 국가 통계 포털,국가통계포털,- 국가 통계 포털 -> 국가통계포털
1407,- 신뢰성과 정확성을 보장하기 위해,주관적 해석으로 삭제,- 신뢰성과 정확성을 보장하기 위해-> 주관적 해석으로 삭제
1432,"- 필라델피아 반도체 지수 급락, 마이크론 견고한 실적 발표에도 불구하고 가이던스 하향 조정 여파로 4% 하락",투자심리 위축 한국 증시 영향,"- 필라델피아 반도체 지수 급락, 마이크론 견고한 실적 발표에도 불구하고 가이던스 하향 조정 여파로 4% 하락 -> 투자심리 위축 한국 증시 영향"
1433,- 매파적인 각국 중앙은행들의 행보에 따른 과도한 밸류에이션 부담 높은 종목구엔 대한 부담 지속,한국 증시 영향,- 매파적인 각국 중앙은행들의 행보에 따른 과도한 밸류에이션 부담 높은 종목구엔 대한 부담 지속 -> 한국 증시 영향
1438,- 9월,9월(이미지 기준),- 9월 -> 9월(이미지 기준)
1440,(현재 상황,"현재상황, 기대 지수-> 기대지수)","(현재 상황 -> 현재상황, 기대 지수-> 기대지수)"
1445,- 니케이,닛케이 (이미지 제시된대로),- 니케이 -> 닛케이 (이미지 제시된대로)
1446,- -2% 안팎의,-2% 이상,- -2% 안팎의 -> -2% 이상
1447,- 미국 시장의 영향을 받아,미국 시장 영향 외에도 국경절 연휴를 앞두고 전력난 등 잠재적 리스크에 대비하는 매물이 출회했습니다.,- 미국 시장의 영향을 받아 -> 미국 시장 영향 외에도 국경절 연휴를 앞두고 전력난 등 잠재적 리스크에 대비하는 매물이 출회했습니다.
1448,- 원자재 관련 업종,씨크리컬 관련 (이미지대로 작성),- 원자재 관련 업종 -> 씨크리컬 관련 (이미지대로 작성)
1449,- 장기 위험 대비 거래대금,장기 연휴를 앞두고 거래대금~ 감소하는 추세가 나타났습니다 (이미지 의도대로 작성),- 장기 위험 대비 거래대금 -> 장기 연휴를 앞두고 거래대금~ 감소하는 추세가 나타났습니다 (이미지 의도대로 작성)
1450,- 인민은행은,"이강 인민은행장은 , 5-6% 전망과 함께 ~연장할 것임을 시사했습니다-> 5-6% 사이로 전망하며 ~연장하겠다고 밝혔습니다. (자연스럽게 수정)","- 인민은행은 -> 이강 인민은행장은 , 5-6% 전망과 함께 ~연장할 것임을 시사했습니다-> 5-6% 사이로 전망하며 ~연장하겠다고 밝혔습니다. (자연스럽게 수정)"
1451,- 변수로 작용할 가능성,우려를 완화시키기 위한 발언으로 분석됩니다. (염두에 둔 발언),- 변수로 작용할 가능성 -> 우려를 완화시키기 위한 발언으로 분석됩니다. (염두에 둔 발언)
1452,- 부유층 성향의 자본 유입: 이미지에서 확인불가합니다. (삭제),헝다그룹의 100억 규모 부채 상환 계획에 대한 소식으로 관련주가 상승했습니다. (수정),- 부유층 성향의 자본 유입: 이미지에서 확인불가합니다. (삭제) -> 헝다그룹의 100억 규모 부채 상환 계획에 대한 소식으로 관련주가 상승했습니다. (수정)
1453,- 시장 위험 요인으로 금리 상승과 정치적 불확실성 2가지가 언급되고 있습니다. 따라서 숫자형 항목을 1. 시장 위험 요인 2. 금리상승으로 두는것은 다소 애매합니다.,내용상 정치적 불확실성에 대한 내용이 잘린 것으로 보이기에 아시아 증시에 대한 동향까지 설명해달라는 질의가 적절하나 이미 작성하셨기에 검수진행하였습니다.,- 시장 위험 요인으로 금리 상승과 정치적 불확실성 2가지가 언급되고 있습니다. 따라서 숫자형 항목을 1. 시장 위험 요인 2. 금리상승으로 두는것은 다소 애매합니다. -> 내용상 정치적 불확실성에 대한 내용이 잘린 것으로 보이기에 아시아 증시에 대한 동향까지 설명해달라는 질의가 적절하나 이미 작성하셨기에 검수진행하였습니다.
1454,- 부정적 영향을 미쳤습니다,"미칠것으로 전망됩니다. ""","- 부정적 영향을 미쳤습니다 -> 미칠것으로 전망됩니다. """
1472,--,이미지와 다른 설명으로 보입니다. 이미지의 내용을 왜곡하지 않도록 재수정 부탁드립니다.,---> 이미지와 다른 설명으로 보입니다. 이미지의 내용을 왜곡하지 않도록 재수정 부탁드립니다.
1478,- 러셀지수가 대형 기술주의 견고한 실적과 함께 강세를 보였습니다.,"기술주의 견고한 실적으로 3대 지수가 사상치를 경신하는 가운데 중소형주는 횡보를 해왔으나, 보고서 작성 시점에는 대형 기술주가 부진함을 보이고 이에 중소형주 강세현상이 나타나 러셀지수가 상승했다는 흐름으로 전개되는 것이 적절해보입니다. (수정)","- 러셀지수가 대형 기술주의 견고한 실적과 함께 강세를 보였습니다. -> 기술주의 견고한 실적으로 3대 지수가 사상치를 경신하는 가운데 중소형주는 횡보를 해왔으나, 보고서 작성 시점에는 대형 기술주가 부진함을 보이고 이에 중소형주 강세현상이 나타나 러셀지수가 상승했다는 흐름으로 전개되는 것이 적절해보입니다. (수정)"
1479,- 계약 없이,"계약금 없이 , 사용할 -> 구매할","- 계약 없이 -> 계약금 없이 , 사용할 -> 구매할"
1481,"- 1조 7,500억 달러에 이를 수 있으며",보다 높아질 수 있으며,"- 1조 7,500억 달러에 이를 수 있으며 -> 보다 높아질 수 있으며"
1485,- 견고,"상승 (실제 수치가 전보다 증가했기에, 상승이란 표현이 더 적절한듯하여 수정하였습니다)","- 견고 -> 상승 (실제 수치가 전보다 증가했기에, 상승이란 표현이 더 적절한듯하여 수정하였습니다)"
1486,- 장기적으로는,전년 대비,- 장기적으로는-> 전년 대비
1488,답변-8. 언급,"~이유는 -때문입니다. 구조로 수정 ""","답변-8. 언급 -> ~이유는 -때문입니다. 구조로 수정 """
1503,"- GMP(yoy, QoQ)은 하락했습니다","전년 대비 증가, 전분기 대비 하락~ 으로 풀어서 수정하였습니다.","- GMP(yoy, QoQ)은 하락했습니다 -> 전년 대비 증가, 전분기 대비 하락~ 으로 풀어서 수정하였습니다."
1505,- 단기적으로는,단기 모멘텀으로는 (이미지대로 수정),- 단기적으로는 -> 단기 모멘텀으로는 (이미지대로 수정)
1506,답변-4. 공급망 안정화,인도량 안정화가 더 적절해 보입니다. 반도체 칩 공급 부족 문제는 사실상 니오가 자체적으로 해결할 수 있는 문제는 아닌 것으로 보입니다. 공장가동을 다시 정상적으로 시작했기에 인도량 안정화가 적절할 것으로 보입니다.,답변-4. 공급망 안정화-> 인도량 안정화가 더 적절해 보입니다. 반도체 칩 공급 부족 문제는 사실상 니오가 자체적으로 해결할 수 있는 문제는 아닌 것으로 보입니다. 공장가동을 다시 정상적으로 시작했기에 인도량 안정화가 적절할 것으로 보입니다. (검수자 수정)
1514,답변-2. 추가 접종이,부스터샷이 (이미지대로),답변-2. 추가 접종이 -> 부스터샷이 (이미지대로)
1517,- 정보가 부족하며,"불확실성이 높고(이미지와는 다소 다른 의미로 보여 수정하였습니다) , 전지구적인 위험 유발 추가","- 정보가 부족하며 -> 불확실성이 높고(이미지와는 다소 다른 의미로 보여 수정하였습니다) , 전지구적인 위험 유발 추가"
1526,(수요-공급 불균형 일부 부문,수요-공급 불균형 계속해서 높은 수준),(수요-공급 불균형 일부 부문 -> 수요-공급 불균형 계속해서 높은 수준)
1530,- 숫자형,불릿,- 숫자형 -> 불릿
1531,- 12월,2021년 12월 (시점 주의해주세요),- 12월 -> 2021년 12월 (시점 주의해주세요)
1532,- 내년,2022년,- 내년 -> 2022년
1534,- 내년,2022년,- 내년 -> 2022년
1535,"- 최근 삭제, 현재","현재(이미지 기준)""","- 최근 삭제, 현재 -> 현재(이미지 기준)"""
1542,- 10월,"2021년 10월 , 따옴표 삭제","- 10월 -> 2021년 10월 , 따옴표 삭제"
